Countries,UN Geoscheme,UN Geoscheme,Forex reserves including gold,Forex reserves including gold,Forex reserves including gold,Forex reserves excluding gold,Forex reserves excluding gold,Forex reserves excluding gold,Ref.
Countries,Continents,Sub-regions,Millions american dollars equivalents,Last reported date,Change,Millions american dollars equivalents,Last reported date,Change,Ref.
Iran,Asia,West Asia,"24,300",1-Mar-24,"1,641","23,600",1-Mar-24,,[63]
Macau,Asia,East Asia,"24,283",1-Mar-24,"1,566",No gold reserves,1-Mar-24,,[64]
Guatemala,Americas,Central America,"21,390",1-Mar-24,1300,No gold reserves,1-Mar-24,,[65]
Argentina,Americas,South America,"20,846",1-Mar-24,"2,090",No gold reserves,1-Mar-24,,[66]
Turkmenistan,Asia,Central Asia,"20,600",1-Mar-24,45,No gold reserves,1-Mar-24,,[67]
Cambodia,Asia,Southeast Asia,"18,496",1-Mar-24,67,No gold reserves,1-Mar-24,,[68]
Jordan,Asia,West Asia,"18,765",1-Mar-24,187,No gold reserves,1-Mar-24,,[69]
Nepal,Asia,South Asia,"18,400",11-Mar-24,"1,857",No gold reserves,11-Mar-24,,[70]
Oman,Asia,West Asia,"16,163",1-Mar-24,548,No gold reserves,1-Mar-24,,[71]
Pakistan,Asia,South Asia,"16,049",25-Oct-24,31.9,No gold reserves,25-Oct-24,,[72]
Uruguay,Americas,South America,"15,449",1-Mar-24,1.176,"15,441",1-Mar-24,11,[73]
Lebanon,Asia,West Asia,"14,738",1-Mar-24,692,No gold reserves,1-Mar-24,,[74]
Dominican Republic,Americas,Caribbean,"14,371",1-Mar-24,"1,145",No gold reserves,1-Mar-24,,[75]
Angola,Africa,Central Africa,"14,200",15-Mar-24,40,No gold reserves,15-Mar-24,,[76]
Costa Rica,Americas,Central America,"13,200",1-Mar-24,320,No gold reserves,1-Mar-24,,[77]
Ireland,Europe,Northern Europe,"12,599",1-Mar-24,130,"11,874",1-Mar-24,2,[78]
Azerbaijan,Asia,West Asia,"11,650",1-Mar-24,142,No gold reserves,1-Mar-24,,[79]
Ivory Coast,Africa,West Africa,"9,800",1-Mar-24,18,No gold reserves,1-Mar-24,,[80]
Paraguay,Americas,South America,"9,707",1-Mar-24,805,"9,168",1-Mar-24,7,[81]
Bosnia and Herzegovina,Europe,Southern Europe,"8,711",1-Mar-24,391,No gold reserves,1-Mar-24,,[82]
Tunisia,Africa,North Africa,"8,623",21-Mar-24,539,No gold reserves,21-Mar-24,,[83]
North Korea,Asia,East Asia,"9,109",1-Mar-24,73,No gold reserves,1-Mar-24,,[84]
Finland,Europe,Northern Europe,"7,995",1-Mar-24,22,No gold reserves,1-Mar-24,,[85]
Slovakia,Europe,Eastern Europe,"7,650",1-Mar-24,441,No gold reserves,1-Mar-24,,[86]
Honduras,Americas,Central America,"7,390",21-Mar-24,580,No gold reserves,21-Mar-24,,[87]
Tanzania,Africa,Southern Africa,"7,022",22-Mar-24,600,No gold reserves,22-Mar-24,,[88]
Iceland,Europe,Northern Europe,"6,847",15-Mar-24,24,"6,668",15-Mar-24,9,[89]
Myanmar,Asia,Southeast Asia,"6,700",1-Mar-24,800,No gold reserves,1-Mar-24,,[90]
Sri Lanka,Asia,South Asia,"6,467",31-Oct-24,475,"6,425",31-Oct-24,2,[91]
Panama,Americas,Central America,"6,143",1-Mar-24,200,No gold reserves,1-Mar-24,,[92]
Venezuela,Americas,South America,"5,908",1-Mar-24,776,No gold reserves,1-Mar-24,,[93]
Trinidad and Tobago,Americas,Caribbean,"5,800",18-Mar-24,44,No gold reserves,18-Mar-24,,[94]
Moldova,Europe,Eastern Europe,"5,600",30-Aug-24,600,No gold reserves,30-Aug-24,,[95]
Mauritius,Africa,Southern Africa,"5,591",1-Mar-24,196,"5,497",1-Mar-24,27,[96]
Bahrain,Asia,West Asia,"5,500",25-Mar-24,128,No gold reserves,25-Mar-24,,[97]
Albania,Europe,Southern Europe,"5,290",31 Apr 2024,200,"5,290",31 Apr 2024,47,[98]
Georgia,Europe,Eastern Europe,"5,224",25-Mar-24,25.58,No gold reserves,25-Mar-24,,[99]
Mongolia,Asia,East Asia,"5,120",20-Mar-24,500,No gold reserves,20-Mar-24,,[100]
Botswana,Africa,Southern Africa,"5,080",1-Mar-24,267,No gold reserves,1-Mar-24,,[101]
Jamaica,Americas,Caribbean,"4,921",5-Mar-24,300,No gold reserves,5-Mar-24,,[102]
Lithuania,Europe,Northern Europe,"4,900",1-Mar-24,440,No gold reserves,1-Mar-24,,[103]
Vatican City,Europe,Southern Europe,"4,339",1-Mar-24,950,No gold reserves,1-Mar-24,,[104]
Armenia,Asia,West Asia,"4,298",25-Mar-24,600,No gold reserves,25-Mar-24,,[105]
Nicaragua,Americas,Central America,"3,980",1-Mar-24,"1,100",No gold reserves,1-Mar-24,,[106]
Greece,Europe,Southern Europe,"3,926",1-Mar-24,107,"3,869",1-Mar-24,8,[107]
Latvia,Europe,Northern Europe,"3,913",1-Mar-24,13,No gold reserves,1-Mar-24,,[108]
Uganda,Africa,East Africa,"3,700",1-Mar-24,259,No gold reserves,1-Mar-24,,[109]
Andorra,Europe,Southern Europe,"3,689",20-Mar-24,11,No gold reserves,20-Mar-24,,[110]
Brunei,Asia,West Asia,"3,664",1-Mar-24,107,No gold reserves,1-Mar-24,,[111]
